gene_name,gene_id,transcript_id
CCDC88C,ENSG00000015133.18,ENST00000389857.10
YAF2,ENSG00000015153.14,ENST00000327791.8
ZMYND11,ENSG00000015171.19,ENST00000381591.5
WAS,ENSG00000015285.10,ENST00000376701.4
DPEP1,ENSG00000015413.9,ENST00000393092.7
BID,ENSG00000015475.18,ENST00000317361.11
MATR3,ENSG00000015479.18,ENST00000394805.7
NPC1L1,ENSG00000015520.14,ENST00000289547.8
XYLT2,ENSG00000015532.9,ENST00000017003.6
RGPD5,ENSG00000015568.12,ENST00000016946.7
STMN4,ENSG00000015592.16,ENST00000350889.8
NUDCD3,ENSG00000015676.17,ENST00000355451.7
ISL1,ENSG00000016082.14,ENST00000230658.11
CHDH,ENSG00000016391.10,ENST00000315251.10
IL20RA,ENSG00000016402.13,ENST00000316649.9
CLCA1,ENSG00000016490.15,ENST00000234701.7
CLCA4,ENSG00000016602.9,ENST00000370563.3
GLT8D1,ENSG00000016864.18,ENST00000266014.10
ATP2C1,ENSG00000017260.19,ENST00000507488.6
IGF1,ENSG00000017427.16,ENST00000392904.5
SLC38A5,ENSG00000017483.14,ENST00000595796.5
RALBP1,ENSG00000017797.12,ENST00000019317.8
RUFY3,ENSG00000018189.12,ENST00000381006.7
CNTN1,ENSG00000018236.14,ENST00000551295.6
SLC11A1,ENSG00000018280.16,ENST00000233202.10
WWTR1,ENSG00000018408.14,ENST00000465804.5
AGPS,ENSG00000018510.14,ENST00000264167.8
CXorf56,ENSG00000018610.14,ENST00000536133.2
ATP1A2,ENSG00000018625.14,ENST00000361216.7
TTC27,ENSG00000018699.12,ENST00000317907.8
ZNF582,ENSG00000018869.16,ENST00000301310.8
VSIG2,ENSG00000019102.11,ENST00000326621.9
PHLDB1,ENSG00000019144.18,ENST00000361417.6
MARCO,ENSG00000019169.10,ENST00000327097.4
CYP24A1,ENSG00000019186.9,ENST00000216862.7
PRDM11,ENSG00000019485.13,ENST00000622142.5
SYT13,ENSG00000019505.7,ENST00000020926.7
SNAI2,ENSG00000019549.11,ENST00000642303.1
CD74,ENSG00000019582.14,ENST00000009530.11
HGF,ENSG00000019991.16,ENST00000222390.10
ZRANB1,ENSG00000019995.6,ENST00000359653.4
NCDN,ENSG00000020129.15,ENST00000373243.6
ADGRA2,ENSG00000020181.17,ENST00000412232.2
ZFP64,ENSG00000020256.19,ENST00000216923.4
MNAT1,ENSG00000020426.10,ENST00000261245.8
SAMD4A,ENSG00000020577.13,ENST00000392067.7
RUNX3,ENSG00000020633.18,ENST00000399916.5
MRE11,ENSG00000020922.12,ENST00000323929.7
PLEKHB1,ENSG00000021300.13,ENST00000354190.9
SERPINB1,ENSG00000021355.12,ENST00000380739.5
CYP3A43,ENSG00000021461.16,ENST00000222382.5
SLC7A9,ENSG00000021488.12,ENST00000023064.8
SPAST,ENSG00000021574.12,ENST00000315285.8
NRXN3,ENSG00000021645.18,ENST00000635466.1
OSBPL5,ENSG00000021762.19,ENST00000263650.11
AQR,ENSG00000021776.10,ENST00000156471.9
CPS1,ENSG00000021826.15,ENST00000430249.6
C8B,ENSG00000021852.12,ENST00000371237.8
FHL1,ENSG00000022267.16,ENST00000394155.6
RTF2,ENSG00000022277.12,ENST00000023939.8
GABRA1,ENSG00000022355.16,ENST00000393943.9
